institutionID,name,bic,environmentType,countries,brands,active,businessAccounts,aISAccount,aISAccounts,aISAccountBalances,aISAccountsWithoutBalance,aISTransactions,aISIdentity,aISStatements,pISDomesticSingle,pISDomesticSingleInstant,pISFuturePayment,pISStandingOrder,pISVRP,pISInternationalSingle,pISInternationalFuturePayment,pISInternationalFixedRecurring,pISBulkPayments,singleAuth,preAuth,embedded,domesticSinglePaymentRefund,domesticScheduledPaymentRefund,domesticPeriodicPaymentRefund,internationalSinglePaymentRefund,internationalScheduledPaymentRefund
bunq_pt,bunq B.V,BUNQNL2AXXX,LIVE,PT,,true,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
bunq_se,bunq B.V,BUNQNL2AXXX,LIVE,SE,,true,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
bw-bank,"Landesbank Baden-Württemberg ",SOLADEST600,LIVE,DE,,true,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
c24,C24,DEFFDEFFXXX,LIVE,DE,,true,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
c24-sandbox,C24 Sandbox,DEFFDEFFXXX,SANDBOX,DE,,true,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
ca_alpesprovence,Crédit Agricole Alpes Provence,AGRIFRPP813,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_alsace_vosges,Crédit Agricole Alsace Vosges,AGRIFRPP872,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_anjou_maine,Crédit Agricole de l'Anjou et du Maine,AGRIFRCC879,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_aquitaine,Crédit Agricole d'Aquitaine,AGRIFRCC833,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_atlantique_vendee,Crédit Agricole Atlantique Vendée,AGRIFRCC847,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_briepicardie,Crédit Agricole Brie Picardie,AGRIFRCC887,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_cariparma_spa,Crédit Agricole Italia S.p.A,,LIVE,IT,,true,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
ca_cariparma_spa-business,Crédit Agricole Cariparma Spa - Business,,LIVE,IT,,true,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
ca_cariparma_spa-net2_corporate,Crédit Agricole Italia S.p.A - Banklink.Net2,,LIVE,IT,,true,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
ca_cariparma_spa-nowbanking_corporate,Crédit Agricole Cariparma Spa - Nowbanking Corporate,,LIVE,IT,,true,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
ca_cb,Crédit Agricole Champagne-Bourgogne,AGRIFRCC810,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_centrefrance,Crédit Agricole de Centre France,AGRIFRCC868,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_centreloire,Crédit Agricole de Centre Loire,AGRIFRCC848,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_centreouest,Crédit Agricole du Centre Ouest,AGRIFRCC895,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
